Feature,N,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Spearman_p_adj,Pearson_p_adj,Spearman_abs
iv_k1,2565,0.06513304994887205,0.0009647337138219448,0.011642854550228732,0.5555966165464037,0.7190073861188754,0.001732582996251656,0.011642854550228732
EarR,2565,0.09772267605636466,7.096441570229605e-07,0.010118228702040075,0.6085044610600034,0.7760636604823231,1.6433864688952768e-06,0.010118228702040075
price_ask_short3,2565,0.0417773239446483,0.03436696615782439,0.009720672190054633,0.622660559683642,0.7827732750308641,0.042004069748452035,0.009720672190054633
SPX_BB_Lower,2565,0.0426447023063405,0.03079543704969145,0.009203414219943503,0.6412890802833977,0.7948371699287182,0.03871426371961211,0.009203414219943503
net_credit,2565,-0.0408676814250442,0.03848669484297743,-0.006472089710441459,0.7431929444523572,0.905662060407025,0.04639491981071252,0.006472089710441459
SPX_EMA12,2565,0.05248908481541794,0.007839847461431678,0.0062609923811410995,0.7512878455649186,0.905662060407025,0.011894940975965305,0.0062609923811410995
price_mid_short3,2565,0.036640063282570384,0.0635412917143628,0.005404606336112199,0.7844002235960231,0.9328002658979735,0.07168761116492214,0.005404606336112199
SPX_SMA7,2565,0.04819842020251967,0.014635386742309884,0.004059137579222058,0.8371978821505102,0.972403427143599,0.020772806989085,0.004059137579222058
pnl8000_short3,2565,0.04937864418214457,0.01237980391446986,-0.0036834873402291205,0.8520817157370617,0.972403427143599,0.018095416268697206,0.0036834873402291205
delta_k2,2565,0.02290203305708715,0.24626093439811259,0.0035578400322749263,0.857072102690682,0.972403427143599,0.26109593044619167,0.0035578400322749263
k3,2565,0.049286893025724705,0.012543413549892381,-0.0032210706118729854,0.870475369067407,0.972403427143599,0.018095416268697206,0.0032210706118729854
Death valley,2565,0.043793200540093585,0.02655988686316722,-0.002239193847265731,0.9097525293738933,0.972403427143599,0.03437161829351052,0.002239193847265731
pnl8000_long2,2565,-0.04610082078085757,0.019547725146788642,0.002108743120933233,0.9149896122479239,0.972403427143599,0.02730475893519683,0.002108743120933233
k2,2565,0.045632971290446536,0.020821970746773825,-0.0019151145599936744,0.9227697739911204,0.972403427143599,0.027830699971460527,0.0019151145599936744
price_bid_short3,2565,0.031162790262017973,0.1145933553543876,0.0018941929644801876,0.9236108773396452,0.972403427143599,0.12297823501446474,0.0018941929644801876
pnl8000_short1,2565,0.04491895359055072,0.022906108120371374,-0.0016236347618293206,0.9344953864237477,0.972403427143599,0.030085634546159416,0.0016236347618293206
Close,2565,0.03975304511358729,0.0440998726451502,0.0011721858533358406,0.9526833668908861,0.972403427143599,0.05106301043122655,0.0011721858533358406
k1,2565,0.04067819307679526,0.03939574648656135,-0.0011356789994726147,0.954155360243113,0.972403427143599,0.046838794890957186,0.0011356789994726147
net_credit_mediana,2565,-0.033863560803046304,0.08639952978534,0.0009429118613685889,0.9619303997856574,0.972403427143599,0.09503948276387401,0.0009429118613685889
SPX,2565,0.03888038823363667,0.04896295465926361,-0.0008721499838475525,0.9647854456939291,0.972403427143599,0.05595766246772984,0.0008721499838475525
RATIO_BATMAN,2565,-0.019190862361851597,0.3312730535981843,0.0006833917237330974,0.972403427143599,0.972403427143599,0.3429650437251791,0.0006833917237330974
