variable,train_corr,test_corr,abs_train,abs_test,diff,pval
SPX_Golden_Cross,-0.0664918475485467,-0.040117653629349694,0.0664918475485467,0.040117653629349694,0.026374193919197007,0.00482867765512164
SPX_SMA50,0.06489213653789294,0.062136998616520535,0.06489213653789294,0.062136998616520535,0.0027551379213724067,0.005954115969716447
iv_k1,0.06487760351854982,0.06657931301147584,0.06487760351854982,0.06657931301147584,0.0017017094929260151,0.005965342281775047
SPX_EMA50,0.061262572448190444,0.057798347827675504,0.061262572448190444,0.057798347827675504,0.00346422462051494,0.009426967640026436
theta_k3,-0.05733627496913208,-0.05100716186215865,0.05733627496913208,0.05100716186215865,0.0063291131069734274,0.015119758687750931
SPX_BB_Upper,0.053401150207830546,0.05001083391689897,0.053401150207830546,0.05001083391689897,0.003390316290931575,0.023704990211079975
SPX_HV20,0.053006042707750625,0.06832466920537651,0.053006042707750625,0.06832466920537651,0.015318626497625887,0.024800790883332004
SPX_EMA26,0.05251868993596255,0.050998190190778524,0.05251868993596255,0.050998190190778524,0.0015204997451840271,0.026076668500958456
pnl8000_short3,0.05102800913207622,0.04583887908443058,0.05102800913207622,0.04583887908443058,0.005189130047645638,0.030631394826024724
k3,0.05093419406026747,0.04575128232741689,0.05093419406026747,0.04575128232741689,0.005182911732850577,0.030939586030644717
SPX_BB_Middle,0.05023002453749558,0.04932680738298771,0.05023002453749558,0.04932680738298771,0.0009032171545078696,0.03333887287728876
SPX_SMA20,0.05023002453749558,0.04932680738298771,0.05023002453749558,0.04932680738298771,0.0009032171545078696,0.03333887287728876
SPX_BB_Lower,0.05004860209880709,0.04848224019904469,0.05004860209880709,0.04848224019904469,0.0015663618997623988,0.03403208383615183
SPX_minus_SMA7,-0.04836917384202156,-0.07461857524636036,0.04836917384202156,0.07461857524636036,0.026249401404338797,0.040457235026010584
delta_k2,0.046580004836208944,-0.03383345661845486,0.046580004836208944,0.03383345661845486,0.0804134614546638,0.04847598393822452
pnl8000_long2,-0.04644512602148704,-0.04587050950650906,0.04644512602148704,0.04587050950650906,0.0005746165149779769,0.04913111310950611
SPX_MACD_Histogram,-0.04642596743410901,-0.05769313737308392,0.04642596743410901,0.05769313737308392,0.011267169938974912,0.04922476901181256
k2,0.045587219483000985,0.04639410715987126,0.045587219483000985,0.04639410715987126,0.0008068876768702743,0.053474110032024944
net_credit,-0.04549908217413634,-0.02786108157271039,0.04549908217413634,0.02786108157271039,0.01763800060142595,0.053937900813339976
pnl8000_short1,0.04540385234892361,0.04432834707351946,0.04540385234892361,0.04432834707351946,0.0010755052754041483,0.054442779135227486
SPX_EMA12,0.04506911367688484,0.04427782377948827,0.04506911367688484,0.04427782377948827,0.0007912898973965674,0.056248815752627974
price_ask_short3,0.04421444570638787,0.03648413950089851,0.04421444570638787,0.03648413950089851,0.007730306205489361,0.06108718590119949
Death valley,0.043877663813764414,0.044207681984402114,0.043877663813764414,0.044207681984402114,0.0003300181706376998,0.0630860650011573
iv_k2,0.043099944846316365,0.03515251053984093,0.043099944846316365,0.03515251053984093,0.007947434306475439,0.06790893234625187
net_credit_mediana,-0.04214337513817849,-0.011201966885538102,0.04214337513817849,0.011201966885538102,0.03094140825264039,0.0742522039329016
SPX_SMA7,0.041630211156834705,0.04151571287128603,0.041630211156834705,0.04151571287128603,0.00011449828554867258,0.07784969467290184
